"filename", "language", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Maciej\Desktop\vite-template-master\src\Router.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 4
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\GenreModal.tsx", "TypeScript JSX", 2, 0, 0, 0, 1, 3
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\NewReleases.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 4
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardDiscover\Trending.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 4
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardHome\Top10.tsx", "TypeScript JSX", 59, 0, 0, 0, 10, 69
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardPlaylists\PlaylistModal.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardProfile\ProfileCard.tsx", "TypeScript JSX", 69, 0, 0, 0, 11, 80
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardProfile\ProfileData.tsx", "TypeScript JSX", 104, 0, 0, 0, 16, 120
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\CollabFilteringRecommendationModal.tsx", "TypeScript JSX", 20, 0, 0, 0, 3, 23
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\ContentBasedRecommendationModal.tsx", "TypeScript JSX", 12, 0, 0, 0, -8, 4
"c:\Users\Maciej\Desktop\vite-template-master\src\components\DashboardRecommendation\RecommendationManualModal.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2
"c:\Users\Maciej\Desktop\vite-template-master\src\components\Navbar\Navbar.module.css", "CSS", 0, 0, 3, 0, 1, 4
"c:\Users\Maciej\Desktop\vite-template-master\src\components\Navbar\Navbar.tsx", "TypeScript JSX", -2, 0, 0, -2, 0, -4
"c:\Users\Maciej\Desktop\vite-template-master\src\components\SearchBar\Searchbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\Maciej\Desktop\vite-template-master\src\components\SearchBar\SearchbarModal.tsx", "TypeScript JSX", 16, 0, 0, 0, 4, 20
"c:\Users\Maciej\Desktop\vite-template-master\src\pages\DashboardProfile.page.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"c:\Users\Maciej\Desktop\vite-template-master\src\svg\Disque_Vinyl.svg", "XML", 0, 120, 0, 0, 48, 168
"c:\Users\Maciej\Desktop\vite-template-master\src\svg\Full_Logo_Black_RGB.svg", "XML", 0, 1, 0, 0, 0, 1
"Total", "-", 309, 121, 3, -2, 90, 521